Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
24/03/2025,1,TRADER(7) DB,5y a a,TEMELHAN- NO MONEY NO HONEY / MOUNTAIN CAT (USA),57,T.YILMAZ,MEHMET GARİP BECENE,S.BECENE,1.57.82,"7,80",-,2,1 Boy,,61,,4,İngilizler,1800,Kum,,,Normal,,,
24/03/2025,2,"HARD AS ROCK(1) KG
 K",4y d a,TIZWAY (USA)- CUMULUS (GB) / KINGMAMBO (USA),61,M.ALİ AKGÖBEK,MURAT ERCAN,G.BALTA,1.58.00,"1,55",-,9,10 Boy,,61,,4,İngilizler,1800,Kum,,,Normal,,,
24/03/2025,3,ALTUĞBEY(2) K,6y d a,KANEKO- DANCE SOLO (GB) / SADLER'S WELLS (USA),62+0.10,K.YİĞİT,MEHMET KAYA,MEHM.KAYA,2.00.28,"4,60",-,6,"2,5 Boy",,84,,4,İngilizler,1800,Kum,,,Normal,,,
24/03/2025,4,"SAF KROM(3) DB
 SKG
 SK",6y d a,SCARFACE- ORE / MOUNTAIN CAT (USA),60,İ.GÜREKE,MUHAMMET FELHAN,A.AKBABA,2.00.83,"9,25",-,8,"5,5 Boy",,57,,4,İngilizler,1800,Kum,,,Normal,,,
24/03/2025,5,"ORTAK GÜÇ(6) KG
 DB
 SK",4y d a,TU BRUTUS (CHI)- VELVET / VICTORY GALLOP (CAN),55,M.AKDAĞ,AZİZ KARAKEÇİLİ,S.KARAKEÇİLİ,2.02.16,"14,20",-,4,,,43,,4,İngilizler,1800,Kum,,,Normal,,,
24/03/2025,6,"SARI PRENSES(5) SKG
 SK",4y a k,ARENA- SATANA / SOVIET STAR (USA),56,L.TAPTIK,ALİ BAKIR,M.E.SARIDAL,2.02.74,"6,90",-,5,,3 Boy,66,,4,İngilizler,1800,Kum,,,Normal,,,
24/03/2025,7,"MINGUINHO(8) KG
 DB
 SK",5y d a,MENDIP (USA)- DESNA / SRI PEKAN (USA),55,B.KELEŞOĞLU,AHMET ÇİÇEK,M.SUSEN,2.10.08,"52,85",-,3,,,35,,4,İngilizler,1800,Kum,,,Normal,,,
24/03/2025,8,"THE NIGHTMARE(9) DB
 SKG
 SK",4y d a,AUTHORIZED (IRE)- REACH THE TOP / MIZZEN MAST (USA),55,M.BAL,HALİL AKGÖBEK,G.BALTA,2.10.22,"53,35",-,7,,,31,,4,İngilizler,1800,Kum,,,Normal,,,
24/03/2025,,"YALAN DÜNYA(4) KG
 DB
 SK
 (Koşmaz)",5y d a,BARUDİ- KOMŞU TINAZ / MOUNTAIN CAT (USA),57,M.KIYAK,MEHMET EMİN DEMİRKAPU,D.DEMİRKAPU,Koşmaz,,-,1,,,79,,4,İngilizler,1800,Kum,,,Normal,,,
19/03/2025,1,"WICTORY DROP(5) DB
 SKG
 SK",5y d a,PAPA CLEM (USA)- NAZ NİYAZ / OCEAN CREST (USA),60,İ.AKYAVUZ,BAĞNU EĞİLLİ,F.E.AKIL,2.19.84,"6,00",%15(2),1,9 Boy,,89,KV,4,İngilizler,2100,Kum,,,Normal,,,
19/03/2025,2,"PIRATE OF THE SEA(7) DB
 SKG
 SK",4y d a,AVERY ISLAND (USA)- REAL WEST / INVINCIBLE SON (IRE),58+0.10,Y.CENGİZ,MUHAMMED ALİ ÇİZİK,T.ÇİZİK,2.21.81,"16,15",%1(4),4,2 Boy,,68,KV,4,İngilizler,2100,Kum,,,Normal,,,
19/03/2025,3,"HASOĞLUM(3) DB
 SK",6y d a,PAPA CLEM (USA)- WINŞAH / WIN RIVER WIN (USA),60,M.DOĞAN,ERKAN YILDIRIM,MEH.ALTIN,2.22.21,"12,15",%7(3),6,"4,5 Boy",,78,KV,4,İngilizler,2100,Kum,,,Normal,,,
19/03/2025,4,BOGOTA(2) DB,8y a g,KANEKO- ZAREEN (GER) / MEDICEAN (GB),60,A.H.BAYAR AP,MUHAMMED ALİ ÇİZİK,T.ÇİZİK,2.23.23,"16,15",%4(4),2,"1,5 Boy",,71,KV,4,İngilizler,2100,Kum,,,Normal,,,
19/03/2025,5,ALTUĞBEY(1) K,6y d a,KANEKO- DANCE SOLO (GB) / SADLER'S WELLS (USA),60,İ.KATAR,MEHMET KAYA,MEHM.KAYA,2.23.59,"1,05",%8(1),7,,2 Boy,84,KV,4,İngilizler,2100,Kum,,,Normal,,,
19/03/2025,6,"SURPRISE STORM(4) DB
 SKG
 SK",5y d a,PERFECT STORM- MISS DREAM / VICTORY GALLOP (CAN),60,A.ÇANKAYA AP,MEHMET KORKMAZ,Z.AKDEMİR,2.23.61,"33,65",%2(6),8,,2 Boy,67,KV,4,İngilizler,2100,Kum,,,Normal,,,
19/03/2025,7,"SEED OF LOVE(8) SKG
 SK",4y d a,KANEKO- CREE MAX / VICTORY GALLOP (CAN),58,M.ALİ AKGÖBEK AP,MUSTAFA ERCAN,A.YARDIMCI,2.27.81,"23,45",%2(5),5,,,72,KV,4,İngilizler,2100,Kum,,,Normal,,,
19/03/2025,8,"BARBAR ÇAKAL(6) DB
 SK",4y d a,ÇAKAL CARLOS- DOUBLE TROUBLE / WIN RIVER WIN (USA),58,F.YARDIMCI,MEHMET KAYA,MEHM.KAYA,2.38.69,"1,05",%62(1),3,,,89,KV,4,İngilizler,2100,Kum,,,Normal,,,
03/03/2025,1,"BARBAR ÇAKAL(12) DB
 SK",4y d a,ÇAKAL CARLOS- DOUBLE TROUBLE / WIN RIVER WIN (USA),58,F.YARDIMCI,MEHMET KAYA,MEHM.KAYA,1.47.42,"2,30",%9(1),4,13 Boy,,78,,4,İngilizler,1700,Kum,,,Normal,,,
03/03/2025,2,"WICTORY DROP(11) DB
 SKG
 SK",5y d a,PAPA CLEM (USA)- NAZ NİYAZ / OCEAN CREST (USA),60,İ.AKYAVUZ,BAĞNU EĞİLLİ,F.E.AKIL,1.50.23,"10,15",%11(4),1,"2,5 Boy",,89,,4,İngilizler,1700,Kum,,,Normal,,,
03/03/2025,3,"HASOĞLUM(4) DB
 SK",6y d a,PAPA CLEM (USA)- WINŞAH / WIN RIVER WIN (USA),60,M.DOĞAN,ERKAN YILDIRIM,MEH.ALTIN,1.50.76,"22,30",%4(8),5,4 Boy,,78,,4,İngilizler,1700,Kum,,,Normal,,,
03/03/2025,4,BOGOTA(2) DB,8y a g,KANEKO- ZAREEN (GER) / MEDICEAN (GB),60,A.H.BAYAR AP,MUHAMMED ALİ ÇİZİK,T.ÇİZİK,1.51.59,"19,00",%4(7),15,"2,5 Boy",,70,,4,İngilizler,1700,Kum,,,Normal,,,
03/03/2025,5,BEST OF ANADOLU(13) SK,4y a g,KANEKO- GOOD MEMORY / BOSPORUS (IRE),58,M.IŞIK AP,MEHMET KAYA,MEHM.KAYA,1.52.00,"2,30",%1(1),9,,,61,,4,İngilizler,1700,Kum,,,Normal,,,
03/03/2025,6,ALTUĞBEY(1) K,6y d a,KANEKO- DANCE SOLO (GB) / SADLER'S WELLS (USA),60,V.DEMİR,MEHMET KAYA,MEHM.KAYA,1.52.27,"2,30",%12(1),11,,,84,,4,İngilizler,1700,Kum,,,Normal,,,
03/03/2025,7,"IRISH MILLIONS(5) K
 DB",5y k a,GENERAL QUARTERS (USA)- KRALİÇE HERA / POWERSCOURT (GB),60,H.SARIDAL,SUAT ÇİZİK,T.ÇİZİK,1.52.43,"56,65",%1(12),3,,,59,,4,İngilizler,1700,Kum,,,Normal,,,
03/03/2025,8,TURDEMİRKIR(10) SK,5y a a,CAPTAIN RIO (GB)- LİLA HATUN / RED BISHOP (USA),60+0.20,E.ÇANKAYA,MAHMUT KARAKEÇİ,Z.AKDEMİR,1.55.81,"4,60",%19(2),14,,,94,,4,İngilizler,1700,Kum,,,Normal,,,
03/03/2025,9,"KING HESO(6) KG
 SK",5y d a,GENERAL QUARTERS (USA)- MARANA TAU / YONAGUSKA (USA),60,İ.KATAR,YAKUP ÇELİK,İ.ÇEÇAN,1.56.27,"13,65",%6(6),12,,,84,,4,İngilizler,1700,Kum,,,Normal,,,
03/03/2025,10,"THE REAL HERO(17) SKG
 SK",4y d a,TIZWAY (USA)- FANTASY SONG (USA) / UNBRIDLED'S SONG (USA),58,B.BEKTAŞ,EMRAH GENÇ,MEH.ALTIN,1.56.43,"21,70",%4(9),2,,,68,,4,İngilizler,1700,Kum,,,Normal,,,
