Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
14/03/2025,1,KARAKURT BEYİ(4),5y a a,TURBO- İLK KIZ / SEZGİNBEY,59,SALİH ÇELİK AP,A.SELÇUK LOKLAR,Ş.GÖKÇE,2.17.13,"4,25",%14(2),8,3 Boy,,78,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,2,"GÜRSELHAN(12) DB
 SKG
 SK",5y k g,TAMERİNOĞLU- MERCANHANIM / BAMKA.3,"57,5",A.YILDIZ,ŞEYDA ERCAN,B.EROĞLU,2.17.70,"3,65",%15(1),2,1 Boy,,69,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,3,"KIRALP(17) KG
 K
 DB",6y d a,BABA MEVLÜT- SUZİDİLARA / BİLGİN,50+2.00,Y.E.YÜKSEL AP,MEHMET GÜNDÜZELİ,F.KIRAN,2.17.87,"12,40",%8(5),10,1 Boy,,48,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,4,"SULTANYEL(5) KG
 DB
 SK
 GKR",6y k a,SULTAN DE FAUST (FR)- ÇAĞLAYEL / AĞA KARACA,"58,5+0.10",Ö.FARUK ÖZEN AP,HAYRİ ÖZGÜR YILMAZ,S.AYDOĞAN,2.18.09,"9,95",%12(3),9,"1,5 Boy",,77,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,5,ŞAHSEKİN(2) KG,7y a a,FAZIL AĞA- KORKUT ELİF / RİKARDO,61,BERK.GÖKÇE AP,CAHİT SEKİN,SEN.GÖKÇE,2.18.35,"16,00",%7(6),1,,,80,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,6,"DEMİR BEY(15) KG
 K
 DB
 GKR",6y a a,DEMİRDÖVEN- SEVDALIMSINCAN / GÜNTAY,"50,5+1.00",Y.TALHA AKKAYA AP,MELTEM PALIT,Y.TAŞKIN,2.19.39,"68,25",%1(16),15,,,55,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,7,"MEHİR ABLA(9) KG
 DB
 SK",6y k k,SONALP- ASLIKAN / VOLGA.2,"56,5",R.KETME AP,MAHMUT ÖZKAN,R.KILIÇ,2.19.40,"27,95",%2(14),3,,,73,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,8,"IŞINBİKE(13) KG
 K
 DB",5y d k,SAADIN GÜCÜ- ALARAP / KAIZBERT (RU),"56,5+0.90",K.TOKAÇOĞLU,KEZİBAN GÜNDÜZELİ,D.KAYA,2.19.41,"18,25",%4(10),11,,,67,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,9,"VEZİRKÖPRÜ(16) KG
 DB",5y k a,BABA MEVLÜT- BENGİSU / BATYSKAF (PL),50+1.80,E.D.ÖKTEN AP,FERİDUN GÜNDÜZ,N.GÜNDÜZ,2.19.78,"8,45",%10(4),6,,,54,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,10,"CANDARLI(3) KG
 SK
 SGKR",5y a a,KAIZBERT (RU)- FİDANIM / TOŞUR,59,K.YILMAZ AP,ALİ TOYDEMİR,O.DEMİR,2.20.74,"15,90",%5(8),16,,,78,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,11,"BALMELDA(8) KG
 DB
 SK",7y k k,BALIKHAN- MELDA KIZ / MAGRİP,"59,5",A.İNCİ,FATMA NİLGÜN KUTLU,M.MEHMET İNAL,2.25.11,"18,20",%5(9),5,,,73,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,12,"BEDİZ DE FAUST(7) K
 DB",6y a k,SULTAN DE FAUST (FR)- BEDİZİM / VOLGA.2,60,C.PASO,ALİ PASO,A.MANTAŞ,2.25.63,"31,85",%2(15),7,,,74,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,13,"DELİ TURBO(14) KG
 DB",5y k a,TURBO- ESRAM / ARASLI,"52,5+2.00",O.YILDIZ,NURİ TURAN,M.ALİ TURAN,2.26.03,"10,75",%6(7),4,,,59,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,14,"ARGALI(6) KG
 SK",5y k a,ALPYÜREK- BONCUKTAY / ANTEPLİ,60,MER.ÇELİK,EYÜP ERDEMİR,V.AKBULUT,2.27.74,"26,15",%3(13),12,,,74,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,15,"GÜVENDİK(10) KG
 K
 GKR",8y k a,YAŞARCIK- DUAYEN / HABERBATUR,"56,5",C.ALTUN AP,MÜSLÜM CAYMAZER,Y.KARAKÜÇÜK,2.29.55,"47,10",%3(12),13,,5 Boy,71,Handikap,4,Araplar,1900,Kum,,,Normal,,,
14/03/2025,16,"YÜREKLİ POYRAZ(11) KG
 K
 DB",5y k a,KAYAYÜREKLİ- BUĞÇE / ŞÖVALYE,58+0.20,N.ŞEN,SEDAT ŞAHİN,R.KILIÇ,2.30.47,"16,85",%3(11),17,,2 Boy,70,Handikap,4,Araplar,1900,Kum,,,Normal,,,
