Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
18/03/2025,1,"HARDOLD(6) KG
 DB
 SK",4y d a,TOROK (IRE)- WENONA / LION HEART (USA),54+2.00,A.ÇELİK,HÜLYA KAHRAMAN,S.ÇELİKMAN,1.17.33,"2,90",%29(1),2,Boyun,,86,,4,İngilizler,1300,Sentetik,,,Normal,,,
18/03/2025,2,"VECTOR(5) KG
 K
 DB",7y d a,VICTORY GALLOP (CAN)- MOMENTUM / LOCKTON (GB),55+0.90,A.SÖZEN,MUHARREM CAN,A.R.YILDIZ,1.17.38,"2,75",%26(2),1,1 Boy,,94,,4,İngilizler,1300,Sentetik,,,Normal,,,
18/03/2025,3,"OPPENHEIMER(8) DB
 SK
 YP",4y d a,HIT IT A BOMB (USA)- QUENBY (USA) / AMBASSADOR* (GER),54+2.00,H.ÇİZİK,BEYHAN HADİOĞLU,MUR.AYDOĞDİ,1.17.51,"4,70",%13(5),7,Yarım Boy,,85,,4,İngilizler,1300,Sentetik,,,Normal,,,
18/03/2025,4,"GREY KURT(3) SKG
 SK",7y d a,PERFECTO- BZIYA / MANILA (USA),55+0.50,MER.ÇELİK,BERAT KARAKEÇİLİ,B.TANRIKULU,1.17.57,"5,55",%14(3),6,2 Boy,,92,,4,İngilizler,1300,Sentetik,,,Normal,,,
18/03/2025,5,"GRACİAS SİNYOR(2) DB
 SK",5y k a,NATIVE KHAN (FR)- DRY CLEANER / POWERSCOURT (GB),55+1.50,A.KURŞUN,SERCAN KAVUŞAN,Y.AÇIL,1.17.88,"6,20",%13(4),8,,,86,,4,İngilizler,1300,Sentetik,,,Normal,,,
18/03/2025,6,"MON REVE(7) KG
 K
 DB",4y a k,LUXOR- ATEŞ ZAMANI / STRIKE THE GOLD (USA),54,E.TUNÇ,BARIŞ KARAGÖZ,A.R.YILDIZ,1.18.46,"50,50",%2(6),9,,,52,,4,İngilizler,1300,Sentetik,,,Normal,,,
18/03/2025,7,"UYGAR BEY(4) KG
 SK",5y d a,CEBELTAY- GONDOR / UNACCOUNTED FOR (USA),55+1.40,İ.AKIN AP,ERMAN ERDEM,SÜL.ASLAN,1.21.28,"43,80",%1(8),5,,,75,,4,İngilizler,1300,Sentetik,,,Normal,,,
18/03/2025,8,"ŞEKERMEN(9) KG
 DB
 SK",4y k a,MENDIP (USA)- ZORBİKE / ZORBAZ (USA),55+2.00,F.ARSLAN,SÜLEYMAN ŞEKERMEN,HÜS.KARABULUT,1.21.71,"105,10",%0(9),3,,,14,,4,İngilizler,1300,Sentetik,,,Normal,,,
18/03/2025,9,"BEST OF ROCK(1) DB
 SK",6y d a,MENDIP (USA)- GOLDEN PIE / ROYAL ABJAR (USA),56+1.60,F.ÇETİN AP,HASAN ALTUNBAŞ,HÜS.KARABULUT,1.21.79,"30,85",%1(7),4,,,51,,4,İngilizler,1300,Sentetik,,,Normal,,,
25/02/2025,1,"INEVITABLE(6) DB
 SK",4y d a,NATIVE KHAN (FR)- DANSEUR DE FEU (IRE) / DANEHILL DANCER (IRE),56+2.00,S.KAYA,CEM KAAN PARSAK,A.BİRDAL,1.22.86,"13,15",%8(6),8,Yarım Boy,,68,,4,İngilizler,1400,Sentetik,,,Normal,,,
25/02/2025,2,MR CİNO(2) K,4y d a,GRAYSTORM- KALILA / POWERSCOURT (GB),55+1.50,Ö.YILDIRIM,GÖKHAN ÖZKAN,Z.TEMUÇİN,1.22.94,"4,80",%20(2),5,3 Boy,,74,,4,İngilizler,1400,Sentetik,,,Normal,,,
25/02/2025,3,"VECTOR(3) KG
 K
 DB",7y d a,VICTORY GALLOP (CAN)- MOMENTUM / LOCKTON (GB),55+0.40,A.SÖZEN,MUHARREM CAN,A.R.YILDIZ,1.23.36,"2,35",%19(3),1,1 Boy,,94,,4,İngilizler,1400,Sentetik,,,Normal,,,
25/02/2025,4,"OPPENHEIMER(8) DB
 SK",4y d a,HIT IT A BOMB (USA)- QUENBY (USA) / AMBASSADOR* (GER),54+2.00,H.ÇİZİK,BEYHAN HADİOĞLU,MUR.AYDOĞDİ,1.23.47,"13,35",%7(7),2,"1,5 Boy",,85,,4,İngilizler,1400,Sentetik,,,Normal,,,
25/02/2025,5,"GRACİAS SİNYOR(1) DB
 SK",5y k a,NATIVE KHAN (FR)- DRY CLEANER / POWERSCOURT (GB),55,E.AKTUĞ,SERCAN KAVUŞAN,Y.AÇIL,1.23.63,"3,60",%13(1),11,,1 Boy,86,,4,İngilizler,1400,Sentetik,,,Normal,,,
25/02/2025,6,"MON REVE(11) KG
 K
 DB",4y a k,LUXOR- ATEŞ ZAMANI / STRIKE THE GOLD (USA),54+1.90,O.ÖZTÜRK,BARIŞ KARAGÖZ,A.R.YILDIZ,1.24.67,"22,95",%3(8),13,,,45,,4,İngilizler,1400,Sentetik,,,Normal,,,
25/02/2025,7,I HAVE SPOKEN(5) DB,4y d a,MYBOYCHARLIE (IRE)- NATURAL MYSTIC / POUR MOI (IRE),55+1.50,A.KURŞUN,CEM ÖZBELGE,İ.TEMEL,1.25.65,"13,85",%8(5),12,,3 Boy,82,,4,İngilizler,1400,Sentetik,,,Normal,,,
25/02/2025,8,"KING FATİH(7) DB
 SK",4y d a,YILDIRIMBEY- QUEEN VICTORY / VICTORY GALLOP (CAN),54+0.70,U.TEMUR,H.HÜSEYİN ÇELİKKILIÇLAR,MUR.AYDOĞDİ,1.26.19,"49,45",%1(9),3,,,54,,4,İngilizler,1400,Sentetik,,,Normal,,,
25/02/2025,9,"OPERASYON(9) KG
 K
 DB",5y d k,SCARFACE- LISOWSKA / SRI PEKAN (USA),54+1.60,A.ÇELİK,SERCAN KAVUŞAN,Y.AÇIL,1.26.68,"3,60",%8(1),9,,2 Boy,89,,4,İngilizler,1400,Sentetik,,,Normal,,,
25/02/2025,10,DORUĞUM(13) K,4y d a,LILBOURNE LAD (IRE)- DONG SOCIETY / ART CONNOISSEUR (IRE),54+2.00,O.AÇAR AP,ZEKİ UYGUR,MERT KORKMAZ,1.26.94,"68,00",%0(11),4,,1 Boy,,,4,İngilizler,1400,Sentetik,,,Normal,,,
25/02/2025,11,"MAKUL(10) SKG
 SK",4y d k,HEP BERABER- KARAMELEK (USA) / STUDENT COUNCIL (USA),52+0.40,A.ASLAN,VEYSEL KAHRAMAN,H.ÇALIŞKAN,1.27.55,"8,65",%13(4),6,,,82,,4,İngilizler,1400,Sentetik,,,Normal,,,
25/02/2025,12,"MINAS ANOR(12) KG
 K",4y d k,BODEMEISTER (USA)- CANARSIE / YONAGUSKA (USA),53+2.00,İSA YILDIRIM AP,KÜRŞAT ORUÇ,HÜS.KARABULUT,1.34.63,"71,85",%0(10),10,,3 Boy,56,,4,İngilizler,1400,Sentetik,,,Normal,,,
25/02/2025,,"BABA RÜSTEM(4) DB
 SKG
 SK
 (Koşmaz)",4y d a,ABBAS YOLCU- LADY MARIA / OCEAN BLUE,54,SER.YILDIZ AP,MUSTAFA ERGÜR,HÜS.KARABULUT,Koşmaz,,%0(12),7,,,49,,4,İngilizler,1400,Sentetik,,,Normal,,,
08/02/2025,1,"JACK SPARROW(1) KG
 DB
 SK",9y d a,MENDIP (USA)- MARSHMALLOW / LUXOR,61,E.BOZDAĞ AP,VOLKAN YONCAAĞAÇ,Ö.GÜNELİ,1.11.63,"7,50",%11(6),4,1 Boy,,87,Handikap,4,İngilizler,1200,Sentetik,,,Normal,,,
08/02/2025,2,"BELLO BOY(5) KG
 DB
 SK",5y d a,TOROK (IRE)- BELLA MIA / OCEAN CREST (USA),"57,5",A.KURŞUN,HAKAN S. ÖZCAN,B.KAÇMAZ,1.11.76,"10,55",%12(5),5,1 Boy,,76,Handikap,4,İngilizler,1200,Sentetik,,,Normal,,,
08/02/2025,3,"LITTLE FRANKEL(4) KG
 DB
 SK",5y d a,ACLAIM (IRE)- FRIMA (GB) / FRANKEL (GB),"58,5",Ö.YILDIRIM,ALİ RIZA ÇELİKOĞLU,U.BİLİK,1.11.89,"1,80",%25(1),6,2 Boy,,78,Handikap,4,İngilizler,1200,Sentetik,,,Normal,,,
08/02/2025,4,SOPHIANEA(6) SK,5y d k,BUSHRANGER (IRE)- LUCKY NUMBER / DEHERE (USA),"54,5",E.AKTUĞ,BORA ÇAPKIN,E.USLU,1.12.15,"3,95",%12(4),3,1 Boy,,70,Handikap,4,İngilizler,1200,Sentetik,,,Normal,,,
08/02/2025,5,"ARASIN ASLANI(3) DB
 SK",4y d a,TOROK (IRE)- NONA / LUXOR,"58,5",M.KAYA,AYDIN ÜSTÜNDAĞ,E.USLU,1.12.29,"3,65",%14(2),8,,2 boy,80,Handikap,4,İngilizler,1200,Sentetik,,,Normal,,,
08/02/2025,6,"KANDO(8) KG
 DB",4y a a,THREE VALLEYS (USA)- ONE STAR / DEHERE (USA),52+2.00,G.ÖZÇELİK,İLYAS İLBEY,U.BİLİK,1.12.39,"21,40",%6(8),2,,,67,Handikap,4,İngilizler,1200,Sentetik,,,Normal,,,
08/02/2025,7,"OPPENHEIMER(2) DB
 SK",4y d a,HIT IT A BOMB (USA)- QUENBY (USA) / AMBASSADOR* (GER),62,A.YILDIZ,BEYHAN HADİOĞLU,A.KÜÇÜKAKSOY,1.12.46,"8,65",%7(7),1,,,87,Handikap,4,İngilizler,1200,Sentetik,,,Normal,,,
08/02/2025,8,VELOX(7) SK,4y d a,LAND FORCE (IRE)- DORADISTA (GB) / OASIS DREAM (GB),53+1.50,VEDAT ABİŞ,OĞUZ YILMAZ,MİR.İPEK,1.12.75,"4,80",%13(3),7,,2 boy,69,Handikap,4,İngilizler,1200,Sentetik,,,Normal,,,
25/12/2024,1,"SANDUHAN(3) KG
 DB
 SK",3y d g,TRAPPE SHOT (USA)- BLACK WIDOW / CHAMPS TO CHAMPS,"57,5",VEDAT ABİŞ,ZELİHA ÖZDEMİR,ORK. ÖZELCANAT,1.29.36,"3,95",%16(2),6,"3,5 Boy",,84,Handikap,3,İngilizler,1500,Sentetik,,,Normal,,,
25/12/2024,2,"WINNER GETS IT ALL(7) DB
 SK",6y a a,WIN RIVER WIN (USA)- LOVELY DOYOUN / DOYOUN (IRE),"53,5+1.80",A.ÇELİK,YILDIRIM GELGİN,A.KÜÇÜKAKSOY,1.29.90,"2,65",%22(1),1,1 Boy,,74,Handikap,3,İngilizler,1500,Sentetik,,,Normal,,,
25/12/2024,3,"JACK SPARROW(1) KG
 DB
 SK",8y d a,MENDIP (USA)- MARSHMALLOW / LUXOR,61,M.M.BİLGİN,VOLKAN YONCAAĞAÇ,Ö.GÜNELİ,1.30.04,"12,15",%4(8),3,Burun,,89,Handikap,3,İngilizler,1500,Sentetik,,,Normal,,,
25/12/2024,4,"FAST PILOT(6) DB
 SK",3y a e,APPROVE (IRE)- MEMPHIS BELLE (GB) / LINAMIX (FR),"52,5+2.00",G.KOCAKAYA,SAİT ÖZTÜRK,BUR.ARSLAN,1.30.05,"6,55",%12(3),9,"1,5 Boy",,74,Handikap,3,İngilizler,1500,Sentetik,,,Normal,,,
25/12/2024,5,PILOTS BOY(5) SK,5y d a,LION HEART (USA)- ZEYNEPSU / KANEKO,"54,5+1.90",A.SÖZEN,HALDUN HAYRİ YALÇIN,V.YÜKSEL,1.30.21,"5,50",%10(4),2,,,76,Handikap,3,İngilizler,1500,Sentetik,,,Normal,,,
25/12/2024,6,VELOX(10) SK,3y d e,LAND FORCE (IRE)- DORADISTA (GB) / OASIS DREAM (GB),50+2.00,A.KAÇMAZ,OĞUZ YILMAZ,MİR.İPEK,1.30.41,"9,15",%8(6),11,,,69,Handikap,3,İngilizler,1500,Sentetik,,,Normal,,,
25/12/2024,7,"BELLO BOY(4) KG
 DB
 SK",4y d a,TOROK (IRE)- BELLA MIA / OCEAN CREST (USA),"54,5+0.90",A.YILDIZ,HAKAN S. ÖZCAN,B.KAÇMAZ,1.30.57,"8,80",%10(5),8,,,76,Handikap,3,İngilizler,1500,Sentetik,,,Normal,,,
25/12/2024,8,COMO ESTAS(11) K,4y d a,PAPA CLEM (USA)- ASLI GÜZEL / UNACCOUNTED FOR (USA),50+2.00,A.ASLAN,HALUK VEFA ERSÖZ,T.KURT,1.30.77,"7,25",%8(7),4,,,64,Handikap,3,İngilizler,1500,Sentetik,,,Normal,,,
25/12/2024,9,JAKOBOY(8) K,4y a a,LUXOR- BADE / EAGLE EYED (USA),"52,5+2.00",MER.ÇELİK,YENER GİRİŞKEN,N.KÖÇKEN,1.31.20,"17,40",%4(10),5,,,72,Handikap,3,İngilizler,1500,Sentetik,,,Normal,,,
25/12/2024,10,"OPPENHEIMER(2) DB
 SK",3y d e,HIT IT A BOMB (USA)- QUENBY (USA) / AMBASSADOR* (GER),59,E.AKTUĞ,BEYHAN HADİOĞLU,A.KÜÇÜKAKSOY,1.31.26,"14,40",%4(9),7,,,87,Handikap,3,İngilizler,1500,Sentetik,,,Normal,,,
25/12/2024,11,"LA BOMBONERA(9) KG
 K
 DB",4y k a,WIN RIVER WIN (USA)- GOLDEN OK / OKAWANGO (USA),"52,5+2.00",G.ÖZÇELİK,ULAŞ GÖKÇE,MAH.BAYKARA,1.31.89,"22,35",%3(11),10,,,72,Handikap,3,İngilizler,1500,Sentetik,,,Normal,,,
11/12/2024,1,"BELLO BOY(9) KG
 DB
 SK",4y d a,TOROK (IRE)- BELLA MIA / OCEAN CREST (USA),"52,5+2.00",A.YILDIZ,HAKAN S. ÖZCAN,B.KAÇMAZ,1.23.83,"6,00",%11(4),4,Burun,,67,Handikap,3,İngilizler,1400,Sentetik,,,Normal,,,
11/12/2024,2,"WINNER GETS IT ALL(7) DB
 SK",6y a a,WIN RIVER WIN (USA)- LOVELY DOYOUN / DOYOUN (IRE),55+1.30,A.ÇELİK,YILDIRIM GELGİN,A.KÜÇÜKAKSOY,1.23.85,"1,95",%28(1),1,1 Boy,,72,Handikap,3,İngilizler,1400,Sentetik,,,Normal,,,
11/12/2024,3,PILOTS BOY(5) SK,5y d a,LION HEART (USA)- ZEYNEPSU / KANEKO,"56,5",A.SÖZEN,HALDUN HAYRİ YALÇIN,V.YÜKSEL,1.24.00,"5,55",%16(2),6,1 Boy,"2,5 Boy",75,Handikap,3,İngilizler,1400,Sentetik,,,Normal,,,
11/12/2024,4,"PAPER QUEEN(8) K
 DB",4y d k,DAILY MAIL- LUCKY NAME / SRI PEKAN (USA),"53,5+1.20",VEDAT ABİŞ,AHMET ALTUNBAŞ,S.ALTUNBAŞ,1.24.15,"10,05",%9(5),7,1 Boy,,69,Handikap,3,İngilizler,1400,Sentetik,,,Normal,,,
