Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
29/03/2025,1,"BRAVE THE STORM(2) DB
 SKG
 SK",5y d a,SIDNEY'S CANDY (USA)- CRAZY PARTY (USA) / A.P.INDY (USA),61,S.İPEK,ORHAN TOSUN ALTIN,T.TURAN,1.16.58,"25,90","%3(10)
%3(10)",10,Yarım Boy,,84,Handikap,4,İngilizler,1300,Sentetik,,,Normal,,,
29/03/2025,2,"CAPTAIN MARSHALL(11) KG
 DB
 SK",4y d a,AIR VICE MARSHAL (USA)- FIRST WALTZ (USA) / MEDAGLIA D'ORO (USA),50+2.00,A.ASLAN,DENİZ KURTEL,H.YÜZBAŞI,1.16.65,"2,60","%23(1)
%21(1)",8,2 Boy,,61,Handikap,4,İngilizler,1300,Sentetik,,,Normal,,,
29/03/2025,3,"GOD OF WAR(10) KG
 K",4y d a,HAVANA GOLD (IRE)- VASSARIA (IRE) / ROCK OF GIBRALTAR (IRE),51+1.70,GÖK.BEKTAŞ,M.LEVENT TOPSAKAL,MİR.İPEK,1.16.94,"15,05","%5(8)
%6(7)",3,2 Boy,,66,Handikap,4,İngilizler,1300,Sentetik,,,Normal,,,
29/03/2025,4,"DREAM TWICE(9) K
 DB",4y d a,BUSHRANGER (IRE)- ATHENA / SHREWD IDEA (GB),55+0.50,MER.ÇELİK,ESRA ATMAN,MET.ACAR,1.17.20,"24,80","%4(9)
%4(9)",4,Yarım Boy,,74,Handikap,4,İngilizler,1300,Sentetik,,,Normal,,,
29/03/2025,5,"WINNER GETS IT ALL(1) DB
 SK",7y a a,WIN RIVER WIN (USA)- LOVELY DOYOUN / DOYOUN (IRE),63,A.SÖZEN,YILDIRIM GELGİN,E.USLU,1.17.27,"6,40","%14(3)
%13(3)",9,,,88,Handikap,4,İngilizler,1300,Sentetik,,,Normal,,,
29/03/2025,6,"LITTLE FRANKEL(7) KG
 DB
 SK",5y d a,ACLAIM (IRE)- FRIMA (GB) / FRANKEL (GB),58,Ö.YILDIRIM,ALİ RIZA ÇELİKOĞLU,U.BİLİK,1.17.51,"4,60","%18(2)
%16(2)",7,,,78,Handikap,4,İngilizler,1300,Sentetik,,,Normal,,,
29/03/2025,7,ALKIZ(8),4y d k,MYBOYCHARLIE (IRE)- RIVER OF LOVE / WIN RIVER WIN (USA),56,N.AVCİ,H.TURGUT ALAKUŞ,T.ŞİT,1.17.52,"8,60","%10(4)
%11(4)",1,,,76,Handikap,4,İngilizler,1300,Sentetik,,,Normal,,,
29/03/2025,8,MITROS ON FIRE(6) SK,4y d k,LUXOR- SHOW STOPPER / BANKNOTE (GB),"54,5",Y.GÖKÇE AP,Y.ERKUT ERSEVER,C.TURAN,1.17.53,"9,05","%7(5)
%8(6)",11,,,79,Handikap,4,İngilizler,1300,Sentetik,,,Normal,,,
29/03/2025,9,"GALYAS CANDY(4) SKG
 SK",5y d k,SIDNEY'S CANDY (USA)- SIGNORINA STELLA / UNACCOUNTED FOR (USA),"59,5",A.YILDIZ,OĞUZ DAĞLAROĞLU,MAH.BAYKARA,1.17.57,"33,55","%2(11)
%3(11)",12,,3 boy,81,Handikap,4,İngilizler,1300,Sentetik,,,Normal,,,
29/03/2025,10,"ARASIN ASLANI(5) DB
 SK",4y d a,TOROK (IRE)- NONA / LUXOR,58,M.M.BİLGİN,AYDIN ÜSTÜNDAĞ,E.USLU,1.18.94,"11,35","%7(6)
%8(5)",6,,,80,Handikap,4,İngilizler,1300,Sentetik,,,Normal,,,
