Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
10/04/2025,1,"DAŞ FATİH(1) KG
 SK",4y k a,TAMERİNOĞLU- SEVNUR / AĞA KARACA,57,C.ALTUN AP,SERKAN YILDIZHAN,V.AKBULUT,2.24.41,"2,10",%30(1),5,Yarım Boy,,71,,4,Araplar,2000,Kum,,,Normal,,,
10/04/2025,2,"SAADINSOYU(6) KG
 DB",4y d a,BABA MEVLÜT- NERGİSÇİÇEK / ŞÖVALYE,58,M.M.BİLGİN,SABRİ AKSU,İ.H.BAYDAN,2.24.51,"4,60",%14(4),6,"6,5 Boy",,55,,4,Araplar,2000,Kum,,,Normal,,,
10/04/2025,3,"KÖYCÜ BEY(2) KG
 K
 DB
 GKR",4y k a,YILMABAŞAR- SEVDALIMSINCAN / GÜNTAY,58,M.ÇİÇEK,MELTEM PALIT,T.ATEŞ,2.25.57,"5,70",%19(2),1,Yarım Boy,,71,,4,Araplar,2000,Kum,,,Normal,,,
10/04/2025,4,"SARSALA(7) KG
 DB
 SK",4y d a,ALTINCI HİS- ESMELTEM / DEHA,55,O.ATMACA,DENİZ AÇIK,T.VATANSEVER,2.25.64,"15,05",%6(6),2,"5,5 Boy",,46,,4,Araplar,2000,Kum,,,Normal,,,
10/04/2025,5,"KÜÇÜK ERCAN(5) KG
 DB",4y a a,HABERKAN- ERGÜL HANIM / BERKOŞHAN,56+0.20,B.M.MIRIK,CUMA TUMBUL,M.TEZEL,2.26.59,"32,05",%3(7),7,,,49,,4,Araplar,2000,Kum,,,Normal,,,
10/04/2025,6,"ÖZGÜNSULTAN(3) KG
 SK",4y d k,ÖZGÜNHAN- ZEYNEP SULTAN / HABERBATUR,58,A.YILDIZ,CAN ERBAK,A.AYDOĞAN,2.27.25,"3,95",%18(3),4,,,73,,4,Araplar,2000,Kum,,,Normal,,,
10/04/2025,7,"FETTAHZADE(4) KG
 K
 DB",4y k a,OVA- SANCAKKIZI / SANCAKBEYİ,56,N.AVCİ,FATİH KORKMAZ,M.GÜDÜCÜ,2.35.21,"7,95",%11(5),3,,,51,,4,Araplar,2000,Kum,,,Normal,,,
29/03/2025,1,"SÜRGÜNBATUR(2) SKG
 SK",4y k a,SONALP- BENİL / AĞA KARACA,58,A.YILDIZ,ARZU GÜNEŞ,MİR.İPEK,2.31.87,"2,60",%34(2),3,Boyun,,69,,4,Araplar,2200,Sentetik,,,Normal,,,
29/03/2025,2,"DAŞ FATİH(1) KG
 SK",4y k a,TAMERİNOĞLU- SEVNUR / AĞA KARACA,58,M.ÇİÇEK,SERKAN YILDIZHAN,V.AKBULUT,2.31.90,"1,70",%47(1),2,"4,5 Boy",,71,,4,Araplar,2200,Sentetik,,,Normal,,,
29/03/2025,3,"SON YAĞIZ(3) KG
 DB
 SK",4y a a,KARA YAĞIZ- SONDAL / ATEŞTOPU,56,VEDAT ABİŞ,FEDAİ KAHRAMAN,MÜC.KAYA,2.32.61,"5,65",%12(3),6,4 Boy,,44,,4,Araplar,2200,Sentetik,,,Normal,,,
