Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
06/04/2025,1,"POWER OF QUATRO(6) KG
 K
 DB",5y k a,UÇANOĞLU- MED BEY / HABERBATUR,57,Ö.YILDIRIM,ERKUT ŞAHİN,HAS.YILDIRIM,1.43.97,"5,95",%15(4),5,2 Boy,,89,KV,4,Araplar,1500,Kum,Normal,"3,3",Normal,,,
06/04/2025,2,"KAŞEMUM KARA(2) KG
 DB
 GKR",6y d a,SONALP- ERVAGÜL / SABURAY,60,E.ÇANKAYA,ALİ RIZA KÖSEALİ,HÜS.TEKİNALP,1.44.31,"2,90",%21(2),3,1 Boy,,96,KV,4,Araplar,1500,Kum,Normal,"3,3",Normal,,,
06/04/2025,3,"BAY TOSUNOĞLU(1) KG
 DB
 SK",6y a a,UÇANOĞLU- ARTVİNLİ / HABERBATUR,60,VEDAT ABİŞ,SEVGİ TOSUNOĞLU,C.KARATAŞ,1.44.48,"3,20",%24(1),6,"2,5 Boy",,96,KV,4,Araplar,1500,Kum,Normal,"3,3",Normal,,,
06/04/2025,4,CİHANA BEDEL(4) KG,6y k a,ANKA- İLKELİ / EMAEL (PL),57,MÜS.ÇELİK,İBRAHİM HALİL ARSLAN,ÇET.ARSLAN,1.44.92,"7,40",%9(5),1,Boyun,3 Boy,91,KV,4,Araplar,1500,Kum,Normal,"3,3",Normal,,,
06/04/2025,5,"LAZFATİH(3) KG
 SK",6y k a,ORÇUN- SEKRETER / CAŞ,60,SALİH ÇELİK AP,HALE EKMEKÇİ EMRE,H.GÜNEY,1.44.97,"12,95",%7(6),4,,,90,KV,4,Araplar,1500,Kum,Normal,"3,3",Normal,,,
06/04/2025,6,"YİĞİTKARDEŞ(8) KG
 SK",8y a a,KAIZBERT (RU)- EZGİHANIM / SÜLO,56+1.00,A.ÇELİK,HAKAN GÜRSES,U.DAŞCI,1.46.66,"3,60",%20(3),2,,,104,KV,4,Araplar,1500,Kum,Normal,"3,3",Normal,,,
06/04/2025,7,"KILIÇ İBO(5) KG
 DB
 GKR",5y k a,KAIZBERT (RU)- ELİFKIZ / DEVİRHAN,57+0.80,V.DEMİR,ALİ RIZA KÖSEALİ,HÜS.TEKİNALP,1.46.86,"2,90",%2(2),7,,6 Boy,93,KV,4,Araplar,1500,Kum,Normal,"3,3",Normal,,,
06/04/2025,8,KARA KORSAN(7) KG,5y a a,ÖZHABER- CENNET KUŞU / BİLGİN,56+1.00,M.AKYAVUZ,MAZLUM TURAN,NEJ.TURAN,1.53.03,"34,65",%2(7),8,,,79,KV,4,Araplar,1500,Kum,Normal,"3,3",Normal,,,
25/03/2025,1,"ALKANLI(1) KG
 DB
 SK",5y a a,KAIZBERT (RU)- MİNİK KIZ / DEMİRKAZIK,"62,5",VEDAT ABİŞ,TOYGAR AKDİKMEN,EN.KARATAŞ,1.24.51,"2,45",%26(1),10,Yarım Boy,,104,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
25/03/2025,2,"GÜNÖTESİ(6) KG
 SK",5y k a,GÜRSU- GÜNSÜR / AYABAKAN,"55,5+0.20",M.S.ÇELİK,GÜNSEN SOYUPAK,C.DEMİR,1.24.62,"3,15",%24(2),7,"1,5 Boy",,89,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
25/03/2025,3,"LORDUM(7) DB
 SKG
 SK",5y k a,ÖZGÜNHAN- ANCELİNA / SAĞANAK,"55,5+0.60",H.ÇİZİK,AHMET ŞAHİN,İ.ÇEÇAN,1.24.87,"9,60",%7(5),14,1 Boy,,99,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
25/03/2025,4,ATABEYLİ(5) KG,5y a a,AYABAKAN- CİHAN DEĞER / DEMİRKAZIK,"55,5",MÜS.ÇELİK,MURAT YILDIZ,M.ARSLAN,1.25.03,"9,75",%8(4),2,Boyun,,89,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
25/03/2025,5,"KILIÇ İBO(2) KG
 DB
 GKR",5y k a,KAIZBERT (RU)- ELİFKIZ / DEVİRHAN,"57,5",A.ÇELİK,ALİ RIZA KÖSEALİ,HÜS.TEKİNALP,1.25.09,"10,70",%14(3),11,,,93,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
25/03/2025,6,"TUMBUL ENES(13) KG
 SK",4y k a,KARAÜZÜM- BİRYOL / SÜLO,52+2.00,M.ALİ AKGÖBEK AP,ÇETİN ALTIN,S.SÜSLÜ,1.25.86,"70,90",%0(11),3,,,54,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
25/03/2025,7,"ÖMÜRÜNOĞLU(9) KG
 K",5y a a,KAYAYÜREKLİ- ÖMÜRÇINARI / BERKSOY,"55,5+1.70",SALİH ÇELİK AP,ALİ ARAS,MEH.ÇELİK,1.26.03,"15,05",%4(8),12,,,90,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
25/03/2025,8,"ALDA GÖR(3) KG
 DB
 SK",6y a a,BAYHAN- SOYLUGELİN / BENİM OĞLUM,"55,5+0.60",E.ÇANKAYA,SÜPHİ KORKMAZ,E.ÇETİNKURT,1.26.15,"30,00",%4(9),9,,,94,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
25/03/2025,9,"ALTINENDER(4) KG
 DB
 SK",5y a a,ENDEREFE- ALBİNA / BALIKHAN,"55,5",N.DEMİR,MUSTAFA ÜNLÜ,S.KAN,1.26.40,"10,05",%5(7),5,,,80,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
25/03/2025,10,"HUYSUZ KIZ(14) KG
 SK",5y k k,BİLGEKURT- BESTEHAN / SÜLO,"50,5+1.90",B.KELEŞOĞLU AP,MERT ÖNGELEN,H.GÜNEY,1.27.53,"118,95",%0(14),6,,4 Boy,29,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
25/03/2025,11,"SULTANBEŞİR(12) SKG
 SK",6y a a,SULTAN DE FAUST (FR)- CAŞPERİ / KAFKASLI,"51,5",M.AKDAĞ AP,BEŞİR KAYA,A.DİNÇ,1.27.54,"112,35",%0(12),1,,,50,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
25/03/2025,12,"MUCİZE HAN(8) KG
 DB
 SK",5y a a,MÜCİZEKAYA- TUTKUKAYA / SULTAN DE FAUST (FR),"55,5+1.60",M.AKYAVUZ,MEHMET EMİN DEMİRKAPU,D.DEMİRKAPU,1.27.60,"17,50",%6(6),4,,,79,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
25/03/2025,13,"SULEIMAN(10) DB
 SKG
 SK",9y k a,TURBO- CANISI / DEMİRKIR,"55,5",M.KESKİN,ÖMERCAN EROĞLU,S.DEMİR,1.28.13,"51,95",%1(10),13,,,75,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
25/03/2025,14,KÜÇÜK BOZTEPE(11),4y a a,MERKÜROĞLU- GÖNÜL SULTAN / EMİROĞLU,55+2.00,V.DEMİR,HACIM KANDEMİR,M.PEKİN,1.29.43,"106,60",%0(13),8,,,37,,4,Araplar,1300,Çim,Normal,"3,3",Normal,,,
09/03/2025,1,"KILIÇ İBO(2) KG
 DB
 GKR",5y k a,KAIZBERT (RU)- ELİFKIZ / DEVİRHAN,62,A.ÇELİK,ALİ RIZA KÖSEALİ,HÜS.TEKİNALP,1.17.35,"4,50",%22(1),1,Yarım Boy,,88,Handikap,4,Araplar,1200,Çim,Normal,"3,3",Normal,,,
09/03/2025,2,"GÜNÖTESİ(4) KG
 SK",5y k a,GÜRSU- GÜNSÜR / AYABAKAN,59,F.S.M.SANSAR AP,GÜNSEN SOYUPAK,C.DEMİR,1.17.42,"4,75",%16(3),9,"1,5 Boy",,86,Handikap,4,Araplar,1200,Çim,Normal,"3,3",Normal,,,
09/03/2025,3,"MUCİZE HAN(6) KG
 DB
 SK",5y a a,MÜCİZEKAYA- TUTKUKAYA / SULTAN DE FAUST (FR),57+0.40,E.ÇANKAYA,MEHMET EMİN DEMİRKAPU,D.DEMİRKAPU,1.17.68,"4,80",%17(2),11,Boyun,,78,Handikap,4,Araplar,1200,Çim,Normal,"3,3",Normal,,,
09/03/2025,4,"ALTINENDER(5) KG
 DB
 SK",5y a a,ENDEREFE- ALBİNA / BALIKHAN,58,N.DEMİR,MUSTAFA ÜNLÜ,S.KAN,1.17.72,"35,70",%2(13),8,1 Boy,,80,Handikap,4,Araplar,1200,Çim,Normal,"3,3",Normal,,,
09/03/2025,5,"ÖMÜRÜNOĞLU(1) KG
 K",5y a a,KAYAYÜREKLİ- ÖMÜRÇINARI / BERKSOY,60,SALİH ÇELİK AP,ALİ ARAS,H. ÇELİK,1.17.88,"10,60",%8(5),4,,,90,Handikap,4,Araplar,1200,Çim,Normal,"3,3",Normal,,,
09/03/2025,6,ERDİ BEY(3),5y k a,TURBO- TOMRİS HATUN / ATEŞTOPU,"59,5",İSM.YILDIRIM AP,MEHMET KILINÇ,M.ŞEFİK KILINÇ,1.18.70,"20,05",%7(7),7,,,87,Handikap,4,Araplar,1200,Çim,Normal,"3,3",Normal,,,
09/03/2025,7,"KASAP ENDER(8) KG
 DB
 SK",6y a a,KARAÜZÜM- MAVİ GÖL / BAYKAN.1,56,MÜS.ÇELİK,YUNUS ADVAN,R.TAŞDELEN,1.18.72,"9,95",%7(6),2,,,76,Handikap,4,Araplar,1200,Çim,Normal,"3,3",Normal,,,
09/03/2025,8,"SULEIMAN(7) DB
 SKG
 SK",9y k a,TURBO- CANISI / DEMİRKIR,"56,5",E.ÇİZİK,ÖMERCAN EROĞLU,S.DEMİR,1.18.92,"25,80",%2(11),12,,,77,Handikap,4,Araplar,1200,Çim,Normal,"3,3",Normal,,,
09/03/2025,9,"ALTINEKEN(10) KG
 K
 DB",6y a k,KAIZBERT (RU)- ALTINNAZLI / ŞENTAY,"51,5+1.60",ER.CANKILIÇ AP,ADİL ALTIN,M.GÜNEŞ,1.19.64,"36,10",%1(14),14,,5 Boy,73,Handikap,4,Araplar,1200,Çim,Normal,"3,3",Normal,,,
