Tarih,Sıra,At İsmi,Yaş,Orijin,Sıklet,Jokey,Sahip,Antrenör,Derece,Ganyan,AGF,Start No,Fark,Geç Çıkış,HP,Yarış Tipi,Yaş Grubu,At Cinsi,Mesafe,Pist Tipi,Çim Durumu,Çim Değeri,Kum Durumu,Sıcaklık,Hava Durumu,Nem
12/04/2025,1,"AKMERİÇ(2) KG
 SK",4y a a,FİRİKYA- POMALİN / TURBO,57+0.10,MÜS.ÇELİK,MEHMET YILDIZ,A.ÇİFTÇİ,2.19.21,"2,55",%27(2),2,2 Boy,,61,Handikap,4,Araplar,1900,Kum,Normal,"3,2",Normal,,,
12/04/2025,2,BABA ŞADİ(8) SKG,4y a a,TURBO- KIZIMESRA / ÖZGÜNHAN,50+0.30,M.AKDAĞ AP,AİT ÇELİK,M.DAŞ,2.19.57,"25,35",%2(6),5,Yarım Boy,,38,Handikap,4,Araplar,1900,Kum,Normal,"3,2",Normal,,,
12/04/2025,3,CAZGIR YAŞAR(3) SK,4y k a,TAMERİNOĞLU- ÖZBEYZA / TURBO,56+0.40,A.ÇELİK,BİRKAN BORA AKARSU,EMİN KARATAŞ,2.19.67,"2,45",%32(1),7,"1,5 Boy",3 Boy,59,Handikap,4,Araplar,1900,Kum,Normal,"3,2",Normal,,,
12/04/2025,4,"BAŞARAN TAY(5) KG
 SK",4y k a,TAMERİNOĞLU- BADEKIZIM / DEMİRKAZIK,50+2.00,M.A.SOLMAZ,HAKAN GÜRSES,U.DAŞCI,2.19.91,"3,80",%20(3),3,"1,5 Boy",,41,Handikap,4,Araplar,1900,Kum,Normal,"3,2",Normal,,,
12/04/2025,5,"SARPER(4) KG
 SK",4y k a,YILMABAŞAR- AYGÖNÜL / ÖZGÜNHAN,56+0.70,E.ÇANKAYA,ASIM FİKRİ ADVAN,R.TAŞDELEN,2.20.20,"8,05",%11(4),6,,,59,Handikap,4,Araplar,1900,Kum,Normal,"3,2",Normal,,,
12/04/2025,6,"MEYMENE(6) KG
 DB
 SK",4y d k,SAADIN GÜCÜ- YAPRAKCIK / TULYAD,50+2.00,M.KESKİN,MUSTAFA KEMAL DEMİREL,A.ÇIKMAN,2.21.25,"37,35",%1(7),4,,,40,Handikap,4,Araplar,1900,Kum,Normal,"3,2",Normal,,,
12/04/2025,7,"PAKELİF(1) K
 DB",4y k k,CANBERKTAY- AVŞAR İLTAN / BAYDANHAN,"57,5",M.KIYAK AP,CEMİL AKDÖNER,R.KONUK,2.25.60,"12,55",%6(5),8,,4 Boy,68,Handikap,4,Araplar,1900,Kum,Normal,"3,2",Normal,,,
12/04/2025,8,SİYAH PENÇE(7) KG,4y d a,ÖZHABER- DENİZMERYEM / BİLGİN,50+2.00,E.TUNÇ,SELİM YILDIZ,R.BARMAN,2.25.69,"69,95",%1(8),1,,,39,Handikap,4,Araplar,1900,Kum,Normal,"3,2",Normal,,,
23/03/2025,1,CAZGIR YAŞAR(3) SK,4y k a,TAMERİNOĞLU- ÖZBEYZA / TURBO,"58,5",A.ÇELİK,BİRKAN BORA AKARSU,EMİN KARATAŞ,2.17.49,"2,60",%45(1),3,Boyun,,51,Handikap,4,Araplar,1900,Kum,Normal,"3,3",Normal,,,
23/03/2025,2,"ÇETİNREİS(13) KG
 DB
 SK",5y k a,HIZLITAY- OYUN BİLEN / DRUID (PL),"54,5",E.SİNCAN,Z.MEHMET KARAKOÇ,BÜN.POLAT,2.17.56,"19,75",%2(8),9,1 Boy,,38,Handikap,4,Araplar,1900,Kum,Normal,"3,3",Normal,,,
